Restframe [A],Line Name,Flux [erg/s/cm^2],Upper,Lower
9126.1,[ClII] 9124,1.96739314150039e-16,3.4980896940146416e-17,2.7742109076407493e-17
9232.2,Pa 9229,2.293275014267392e-15,4.893632399844732e-16,3.927462890638416e-16
9533.2,[SIII]9533,9.055953634552598e-14,1.627997296968966e-14,1.4227483167746764e-14
9548.8,Pa 9546,3.3019222871058482e-15,7.040664954346693e-16,5.657723169699116e-16
9852.96,[CI]9850,2.4572878262164425e-16,7.004422794978549e-17,5.422320175451731e-17
10052.6,Pa delta 10050,5.047145498601204e-15,1.0775951537181737e-15,8.643616919961031e-16
10323.32,[SII]10331,2.949611606811891e-15,4.047465269634708e-16,4.2207519113371976e-16
10832.056999999999,HeI 10829,2.1947614970110285e-14,4.702922575790814e-15,3.803340361475055e-15
10833.306,HeI 10833,7.315125289488183e-15,1.5674312615669413e-15,1.2673339230808798e-15
10941.17,Pa gamma 10939,8.346861634733259e-15,1.8011036399443736e-15,1.4330977022016642e-15
12570.21,[FeII] 1.26m,9.620500003418934e-16,2.417588070347774e-16,1.8110716325981427e-16
12821.578000000001,Pa beta 12819,1.5550302763721296e-14,3.4057753690273376e-15,2.7150426154177543e-15
17366.885,Br 17363,8.9265868324155e-16,1.9701130635473073e-16,1.5908778467383086e-16
18179.2,Br 18175,1.2376462335867356e-15,2.7540033972228017e-16,2.2016186918912935e-16
18756.4,Pa alpha 18752,3.5798850903386925e-14,8.309563829082254e-15,6.463410498273404e-15
19450.89,Br delta 19447,1.7967475874966524e-15,4.0264413283714714e-16,3.219842043448938e-16
21661.178,Br gamma 21657,2.7746549364665423e-15,6.309796880693662e-16,5.017555705141315e-16
26258.71,Br beta 26254,4.692698772101207e-15,1.0846037928723006e-15,8.615982699315529e-16
30392.02,Pf 30386,5.433924492215303e-16,1.2499122236032967e-16,1.0077676146022717e-16
32969.8,Pf delta 32964,7.595293012178869e-16,1.7527549106739998e-16,1.4116170520059323e-16
37405.76,Pf gamma 37398,1.115899636455881e-15,2.6044191495858224e-16,2.0828484597409237e-16
40522.79,Br alpha 40515,9.36923362579638e-15,2.2526727840823282e-15,1.7773605664011456e-15
46537.8,Pf beta 46529,1.7721395070210355e-15,4.2154671300433447e-16,3.347595879969751e-16
